name,genre,director,star_1,star_2,star_3,star_4,description
How to Train Your Dragon,"Animation, Action, Adventure",Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,"$494,879,471"
Twister,"Action, Adventure, Thriller",Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,"$494,580,615"
Oz the Great and Powerful,"Adventure, Family, Fantasy",Sam Raimi,James Franco,Michelle Williams,Rachel Weisz,Mila Kunis,"$493,311,825"
Clash of the Titans,"Action, Adventure, Fantasy",Louis Leterrier,Sam Worthington,Liam Neeson,Ralph Fiennes,Jason Flemyng,"$493,214,993"
Maleficent: Mistress of Evil,"Adventure, Family, Fantasy",Joachim Rønning,Angelina Jolie,Elle Fanning,Harris Dickinson,Michelle Pfeiffer,"$491,730,089"
War for the Planet of the Apes,"Action, Adventure, Drama",Matt Reeves,Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval,"$490,719,763"
Shrek,"Animation, Adventure, Comedy",Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,"$488,351,320"
Mr. & Mrs. Smith,"Action, Comedy, Crime",Doug Liman,Brad Pitt,Angelina Jolie,Adam Brody,Vince Vaughn,"$487,287,646"
Angels & Demons,"Action, Mystery, Thriller",Ron Howard,Tom Hanks,Ewan McGregor,Ayelet Zurer,Stellan Skarsgård,"$485,930,816"
Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",Jonathan Liebesman,Megan Fox,Will Arnett,William Fichtner,Noel Fisher,"$485,004,754"
Bruce Almighty,"Comedy, Fantasy",Tom Shadyac,Jim Carrey,Jennifer Aniston,Morgan Freeman,Philip Baker Hall,"$484,592,874"
Rio,"Animation, Adventure, Comedy",Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,George Lopez,Karen Disher,"$483,866,772"
Saving Private Ryan,"Drama, War",Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,"$482,349,603"
Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",Rupert Wyatt,James Franco,Andy Serkis,Freida Pinto,Karin Konoval,"$481,800,873"
Home Alone,"Comedy, Family",Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,"$476,684,675"
Jaws,"Adventure, Thriller",Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,"$476,512,065"
Hotel Transylvania 2,"Animation, Adventure, Comedy",Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,"$475,186,706"
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"$475,106,177"
Charlie and the Chocolate Factory,"Adventure, Comedy, Family",Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carter,"$474,968,763"
Indiana Jones and the Last Crusade,"Action, Adventure",Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,"$474,171,806"
San Andreas,"Action, Adventure, Thriller",Brad Peyton,Dwayne Johnson,Carla Gugino,Alexandra Daddario,Colton Haynes,"$474,009,154"
It Chapter Two,"Drama, Fantasy, Horror",Andy Muschietti,Jessica Chastain,James McAvoy,Bill Hader,Isaiah Mustafa,"$473,122,525"
La La Land,"Comedy, Drama, Music",Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,"$472,013,241"
Wreck-It Ralph,"Animation, Adventure, Comedy",Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,"$471,222,889"
Godzilla vs. Kong,"Action, Sci-Fi, Thriller",Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Brian Tyree Henry,"$470,116,094"
The Hangover,Comedy,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms,"$469,328,079"
Lucy,"Action, Sci-Fi, Thriller",Luc Besson,Scarlett Johansson,Morgan Freeman,Choi Min-sik,Amr Waked,"$469,058,574"
The Lego Movie,"Animation, Action, Adventure",Phil Lord,Christopher Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,"$468,266,122"
Bumblebee,"Action, Adventure, Sci-Fi",Travis Knight,Hailee Steinfeld,Jorge Lendeborg Jr.,John Cena,Jason Drucker,"$467,989,645"
Star Trek Into Darkness,"Action, Adventure, Sci-Fi",J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,"$467,365,246"
The Matrix,"Action, Sci-Fi",Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,"$467,222,728"
Pretty Woman,"Comedy, Romance",Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,Laura San Giacomo,"$463,406,268"
Cars,"Animation, Adventure, Comedy",John Lasseter,Joe Ranft,Owen Wilson,Bonnie Hunt,Paul Newman,"$461,991,867"
Ba bai,"Action, Drama, History",Hu Guan,Zhizhong Huang,Junyi Zhang,Hao Ou,Xiaoguang Hu,"$461,421,559"
X-Men: The Last Stand,"Action, Adventure, Sci-Fi",Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,Famke Janssen,"$460,435,291"
Du xing yue qiu,"Comedy, Sci-Fi",Chiyu Zhang,Teng Shen,Li Ma,Yuan Chang,Chengru Li,"$460,237,662"
National Treasure: Book of Secrets,"Action, Adventure, Mystery",Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,Jon Voight,"$459,242,249"
Mission: Impossible,"Action, Adventure, Thriller",Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,"$457,696,391"
300,"Action, Drama",Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West,"$456,082,343"
The Last Samurai,"Action, Drama",Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,"$454,627,263"
Kimetsu no Yaiba: Mugen Ressha-Hen,"Animation, Action, Adventure",Haruo Sotozaki,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,"$453,210,959"
