name,genre,director,star_1,star_2,star_3,star_4,description
22 Jump Street,"Action, Comedy, Crime",Phil Lord,Christopher Miller,Channing Tatum,Jonah Hill,Ice Cube,"$331,333,876"
Meet the Parents,"Comedy, Romance",Jay Roach,Ben Stiller,Robert De Niro,Teri Polo,Blythe Danner,"$330,444,045"
Who Framed Roger Rabbit,"Animation, Adventure, Comedy",Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,"$329,803,958"
Black Swan,"Drama, Thriller",Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,"$329,398,046"
The Perfect Storm,"Action, Adventure, Drama",Wolfgang Petersen,George Clooney,Mark Wahlberg,John C. Reilly,Diane Lane,"$328,718,434"
John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller",Chad Stahelski,Keanu Reeves,Halle Berry,Ian McShane,Laurence Fishburne,"$328,349,387"
Crocodile Dundee,"Action, Adventure, Comedy",Peter Faiman,Paul Hogan,Linda Kozlowski,John Meillon,David Gulpilil,"$328,203,506"
Feng kuang de wai xing ren,"Comedy, Sci-Fi",Hao Ning,Bo Huang,Teng Shen,Tom Pelphrey,Matthew Morrison,"$327,598,891"
Se7en,"Crime, Drama, Mystery",David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,"$327,333,559"
The Devil Wears Prada,"Comedy, Drama",David Frankel,Anne Hathaway,Meryl Streep,Adrian Grenier,Emily Blunt,"$326,706,115"
Taken 3,"Action, Crime, Thriller",Olivier Megaton,Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,"$326,479,141"
The Hunchback of Notre Dame,"Animation, Drama, Family",Gary Trousdale,Kirk Wise,Demi Moore,Jason Alexander,Mary Kay Bergman,"$325,338,851"
A Christmas Carol,"Animation, Adventure, Comedy",Robert Zemeckis,Jim Carrey,Gary Oldman,Colin Firth,Steve Valentine,"$325,286,646"
The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy",Paul Tibbitt,Mike Mitchell,Tom Kenny,Antonio Banderas,Bill Fagerbakke,"$325,186,032"
Schindler's List,"Biography, Drama, History",Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,"$322,161,245"
Megamind,"Animation, Action, Comedy",Tom McGrath,Will Ferrell,Jonah Hill,Brad Pitt,Tina Fey,"$321,885,765"
The Conjuring 2,"Horror, Mystery, Thriller",James Wan,Vera Farmiga,Patrick Wilson,Madison Wolfe,Frances O'Connor,"$321,834,351"
Green Book,"Biography, Comedy, Drama",Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,"$321,752,656"
Lethal Weapon 3,"Action, Crime, Thriller",Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo,"$321,731,527"
Robin Hood,"Action, Adventure, Drama",Ridley Scott,Russell Crowe,Cate Blanchett,Matthew Macfadyen,Max von Sydow,"$321,669,741"
Inglourious Basterds,"Adventure, Drama, War",Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,"$321,457,747"
101 Dalmatians,"Adventure, Comedy, Crime",Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright,"$320,689,294"
The Conjuring,"Horror, Mystery, Thriller",James Wan,Patrick Wilson,Vera Farmiga,Ron Livingston,Lili Taylor,"$320,406,242"
Fatal Attraction,"Drama, Thriller",Adrian Lyne,Michael Douglas,Glenn Close,Anne Archer,Ellen Latzen,"$320,145,693"
Sonic the Hedgehog,"Action, Adventure, Comedy",Jeff Fowler,Ben Schwartz,James Marsden,Jim Carrey,Tika Sumpter,"$319,715,683"
The Last Airbender,"Action, Adventure, Family",M. Night Shyamalan,Noah Ringer,Nicola Peltz Beckham,Jackson Rathbone,Dev Patel,"$319,713,881"
The Proposal,"Comedy, Drama, Romance",Anne Fletcher,Sandra Bullock,Ryan Reynolds,Mary Steenburgen,Craig T. Nelson,"$317,375,031"
The Polar Express,"Animation, Adventure, Comedy",Robert Zemeckis,Tom Hanks,Chris Coppola,Michael Jeter,Leslie Zemeckis,"$316,897,787"
A Beautiful Mind,"Biography, Drama",Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,"$316,791,257"
Beverly Hills Cop,"Action, Comedy, Crime",Martin Brest,Eddie Murphy,Judge Reinhold,John Ashton,Lisa Eilbacher,"$316,360,478"
Air Force One,"Action, Drama, Thriller",Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,"$315,156,409"
Wonder,"Drama, Family",Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,"$315,025,930"
The Expendables 2,"Action, Adventure, Thriller",Simon West,Sylvester Stallone,Liam Hemsworth,Randy Couture,Jean-Claude Van Damme,"$314,975,955"
Chicken Little,"Animation, Adventure, Comedy",Mark Dindal,Zach Braff,Joan Cusack,Garry Marshall,Don Knotts,"$314,432,837"
As Good as It Gets,"Comedy, Drama, Romance",James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,"$314,178,011"
Knives Out,"Comedy, Crime, Drama",Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis,"$312,897,920"
Maze Runner: The Scorch Trials,"Action, Adventure, Sci-Fi",Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,"$312,296,056"
Resident Evil: The Final Chapter,"Action, Horror, Sci-Fi",Paul W.S. Anderson,Milla Jovovich,Iain Glen,Ali Larter,Shawn Roberts,"$312,242,626"
The Lego Batman Movie,"Animation, Action, Adventure",Chris McKay,Will Arnett,Michael Cera,Rosario Dawson,Ralph Fiennes,"$312,136,671"
Austin Powers: The Spy Who Shagged Me,"Action, Adventure, Comedy",Jay Roach,Mike Myers,Heather Graham,Michael York,Robert Wagner,"$312,016,928"
Ocean's Thirteen,"Crime, Thriller",Steven Soderbergh,George Clooney,Brad Pitt,Matt Damon,Michael Mantell,"$311,312,624"
Little Fockers,"Comedy, Romance",Paul Weitz,Ben Stiller,Teri Polo,Robert De Niro,Owen Wilson,"$310,650,585"
Bolt,"Animation, Adventure, Comedy",Byron Howard,Chris Williams,John Travolta,Miley Cyrus,Susie Essman,"$309,979,994"
Ransom,"Action, Crime, Thriller",Ron Howard,Mel Gibson,Gary Sinise,Rene Russo,Brawley Nolte,"$309,492,681"
Runaway Bride,"Comedy, Romance",Garry Marshall,Julia Roberts,Richard Gere,Joan Cusack,Hector Elizondo,"$309,460,292"
The Blind Side,"Biography, Drama, Sport",John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,"$309,231,694"
Qian ren 3: Zai jian qian ren,"Comedy, Romance",Yusheng Tian,Geng Han,Ryan Zheng,Wenwen Yu,Mengxue Zeng,"$307,592,427"
The Fault in Our Stars,"Drama, Romance",Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,"$307,166,834"
The Pursuit of Happyness,"Biography, Drama",Gabriele Muccino,Will Smith,Thandiwe Newton,Jaden Smith,Brian Howe,"$307,127,625"
Rise of the Guardians,"Animation, Action, Adventure",Peter Ramsey,Hugh Jackman,Alec Baldwin,Isla Fisher,Chris Pine,"$306,941,670"
Close Encounters of the Third Kind,"Drama, Sci-Fi",Steven Spielberg,Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,"$306,889,114"
Chicago,"Comedy, Crime, Musical",Rob Marshall,Renée Zellweger,Catherine Zeta-Jones,Richard Gere,Taye Diggs,"$306,776,732"
Annabelle: Creation,"Horror, Mystery, Thriller",David F. Sandberg,Anthony LaPaglia,Samara Lee,Miranda Otto,Brad Greenquist,"$306,515,884"
Bridesmaids,"Comedy, Romance",Paul Feig,Kristen Wiig,Maya Rudolph,Rose Byrne,Terry Crews,"$306,442,085"
Skyscraper,"Action, Adventure, Thriller",Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Roland Møller,"$304,868,961"
A Good Day to Die Hard,"Action, Thriller",John Moore,Bruce Willis,Jai Courtney,Sebastian Koch,Mary Elizabeth Winstead,"$304,654,182"
Mulan,"Animation, Adventure, Comedy",Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,BD Wong,"$304,320,254"
Dangal,"Action, Biography, Drama",Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,"$303,723,636"
Passengers,"Drama, Romance, Sci-Fi",Morten Tyldum,Jennifer Lawrence,Chris Pratt,Michael Sheen,Laurence Fishburne,"$303,144,152"
Battleship,"Action, Adventure, Sci-Fi",Peter Berg,Alexander Skarsgård,Brooklyn Decker,Liam Neeson,Rihanna,"$303,025,485"
Liar Liar,"Comedy, Fantasy",Tom Shadyac,Jim Carrey,Maura Tierney,Amanda Donohoe,Jennifer Tilly,"$302,710,615"
G.I. Joe: The Rise of Cobra,"Action, Adventure, Sci-Fi",Stephen Sommers,Dennis Quaid,Channing Tatum,Marlon Wayans,Adewale Akinnuoye-Agbaje,"$302,469,017"
Wrath of the Titans,"Action, Adventure, Fantasy",Jonathan Liebesman,Sam Worthington,Liam Neeson,Rosamund Pike,Ralph Fiennes,"$301,970,083"
4: Rise of the Silver Surfer,"Action, Adventure, Fantasy",Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis,"$301,913,131"
Hook,"Adventure, Comedy, Family",Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,Bob Hoskins,"$300,854,823"
Superman,"Action, Adventure, Sci-Fi",Richard Donner,Christopher Reeve,Margot Kidder,Gene Hackman,Marlon Brando,"$300,478,449"
Rocky IV,"Drama, Sport",Sylvester Stallone,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,"$300,473,716"
Rambo: First Blood Part II,"Action, Adventure, Thriller",George P. Cosmatos,Sylvester Stallone,Richard Crenna,Charles Napier,Steven Berkoff,"$300,400,432"
Resident Evil: Afterlife,"Action, Horror, Sci-Fi",Paul W.S. Anderson,Milla Jovovich,Ali Larter,Wentworth Miller,Kim Coates,"$300,228,084"
Van Helsing,"Action, Adventure, Fantasy",Stephen Sommers,Hugh Jackman,Kate Beckinsale,Richard Roxburgh,Shuler Hensley,"$300,157,638"
Stuart Little,"Adventure, Comedy, Family",Rob Minkoff,Michael J. Fox,Geena Davis,Hugh Laurie,Jonathan Lipnicki,"$300,135,367"
Beverly Hills Cop II,"Action, Comedy, Crime",Tony Scott,Eddie Murphy,Judge Reinhold,Jürgen Prochnow,Ronny Cox,"$299,965,036"
Alice Through the Looking Glass,"Adventure, Family, Fantasy",James Bobin,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway,"$299,820,798"
My Best Friend's Wedding,"Comedy, Drama, Romance",P.J. Hogan,Julia Roberts,Dermot Mulroney,Cameron Diaz,Rupert Everett,"$299,288,605"
Real Steel,"Action, Drama, Sci-Fi",Shawn Levy,Hugh Jackman,Evangeline Lilly,Dakota Goyo,Anthony Mackie,"$299,268,508"
Horton Hears a Who!,"Animation, Adventure, Comedy",Jimmy Hayward,Steve Martino,Jim Carrey,Steve Carell,Carol Burnett,"$298,572,799"
Ocean's Eight,"Action, Comedy, Crime",Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling,"$297,795,726"
A Quiet Place Part II,"Drama, Horror, Sci-Fi",John Krasinski,Emily Blunt,Millicent Simmonds,Cillian Murphy,John Krasinski,"$297,372,261"
Insurgent,"Action, Adventure, Sci-Fi",Robert Schwentke,Shailene Woodley,Ansel Elgort,Theo James,Kate Winslet,"$297,002,527"
Look Who's Talking,Comedy,Amy Heckerling,John Travolta,Kirstie Alley,Olympia Dukakis,George Segal,"$296,999,813"
Austin Powers in Goldmember,"Action, Adventure, Comedy",Jay Roach,Mike Myers,Beyoncé,Seth Green,Michael York,"$296,938,801"
Ghostbusters,"Action, Comedy, Fantasy",Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,"$296,578,797"
Miss Peregrine's Home for Peculiar Children,"Adventure, Drama, Family",Tim Burton,Eva Green,Asa Butterfield,Samuel L. Jackson,Judi Dench,"$296,482,446"
X-Men,"Action, Adventure, Sci-Fi",Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen,"$296,339,528"
Ferdinand,"Animation, Adventure, Comedy",Carlos Saldanha,John Cena,Kate McKinnon,Bobby Cannavale,Jack Gore,"$296,069,199"
Shutter Island,"Mystery, Thriller",Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,"$294,805,697"
Doctor Dolittle,"Comedy, Family, Fantasy",Betty Thomas,Eddie Murphy,Peter Boyle,Ossie Davis,Oliver Platt,"$294,456,605"
Bee Movie,"Animation, Adventure, Comedy",Simon J. Smith,Steve Hickner,Jerry Seinfeld,Renée Zellweger,Matthew Broderick,"$293,514,336"
Salt,"Action, Thriller",Phillip Noyce,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Daniel Olbrychski,"$293,503,354"
G-Force,"Animation, Action, Adventure",Hoyt Yeatman,Will Arnett,Penélope Cruz,Zach Galifianakis,Bill Nighy,"$292,817,898"
The Departed,"Crime, Drama, Thriller",Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,"$291,480,452"
What Lies Beneath,"Drama, Horror, Mystery",Robert Zemeckis,Harrison Ford,Michelle Pfeiffer,Katharine Towne,Miranda Otto,"$291,420,351"
Pacific Rim: Uprising,"Action, Adventure, Fantasy",Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Burn Gorman,"$290,930,148"
The Bourne Supremacy,"Action, Mystery, Thriller",Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox,"$290,835,269"
Sex and the City 2,"Comedy, Drama, Romance",Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,Kristin Davis,Cynthia Nixon,"$290,745,055"
Shakespeare in Love,"Comedy, Drama, History",John Madden,Gwyneth Paltrow,Joseph Fiennes,Geoffrey Rush,Tom Wilkinson,"$289,317,794"
Divergent,"Action, Adventure, Mystery",Neil Burger,Shailene Woodley,Theo James,Kate Winslet,Jai Courtney,"$288,885,818"
Coming to America,"Comedy, Romance",John Landis,Eddie Murphy,Paul Bates,Garcelle Beauvais,Feather,"$288,752,301"
Wedding Crashers,"Comedy, Romance",David Dobkin,Owen Wilson,Vince Vaughn,Rachel McAdams,Christopher Walken,"$288,485,135"
Maze Runner: The Death Cure,"Action, Adventure, Sci-Fi",Wes Ball,Dylan O'Brien,Ki Hong Lee,Kaya Scodelario,Thomas Brodie-Sangster,"$288,175,335"
Casper,"Comedy, Family, Fantasy",Brad Silberling,Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idle,"$287,928,194"
American Pie 2,Comedy,J.B. Rogers,Jason Biggs,Seann William Scott,Shannon Elizabeth,Alyson Hannigan,"$287,553,595"
Elvis,"Biography, Drama, Music",Baz Luhrmann,Tom Hanks,Austin Butler,Olivia DeJonge,Helen Thomson,"$287,340,048"
Pitch Perfect 2,"Comedy, Music",Elizabeth Banks,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,"$287,144,079"
The Green Mile,"Crime, Drama, Fantasy",Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,"$286,801,374"
Oblivion,"Action, Adventure, Sci-Fi",Joseph Kosinski,Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko,"$286,168,572"
Elysium,"Action, Drama, Sci-Fi",Neill Blomkamp,Matt Damon,Jodie Foster,Sharlto Copley,Alice Braga,"$286,140,700"
Lethal Weapon 4,"Action, Crime, Thriller",Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo,"$285,444,603"
John Carter,"Action, Adventure, Sci-Fi",Andrew Stanton,Taylor Kitsch,Lynn Collins,Willem Dafoe,Samantha Morton,"$284,139,100"
Turbo,"Animation, Adventure, Comedy",David Soren,Ryan Reynolds,Paul Giamatti,Maya Rudolph,Samuel L. Jackson,"$282,570,682"
Paddington,"Adventure, Comedy, Family",Paul King,Hugh Bonneville,Sally Hawkins,Julie Walters,Jim Broadbent,"$282,377,683"
Bridget Jones's Diary,"Comedy, Drama, Romance",Sharon Maguire,Renée Zellweger,Colin Firth,Hugh Grant,Gemma Jones,"$281,995,610"
The Tourist,"Action, Thriller",Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie,Paul Bettany,Timothy Dalton,"$278,780,441"
Split,"Horror, Thriller",M. Night Shyamalan,James McAvoy,Anya Taylor-Joy,Haley Lu Richardson,Jessica Sula,"$278,454,417"
Scary Movie,Comedy,Keenen Ivory Wayans,Anna Faris,Jon Abrahams,Marlon Wayans,Carmen Electra,"$278,019,771"
xXx,"Action, Adventure, Thriller",Rob Cohen,Vin Diesel,Asia Argento,Marton Csokas,Samuel L. Jackson,"$277,448,382"
The Bourne Legacy,"Action, Adventure, Thriller",Tony Gilroy,Jeremy Renner,Rachel Weisz,Edward Norton,Scott Glenn,"$276,144,750"
Mr. Peabody & Sherman,"Animation, Adventure, Comedy",Rob Minkoff,Ty Burrell,Max Charles,Stephen Colbert,Leslie Mann,"$275,698,039"
Scooby-Doo,"Adventure, Comedy, Family",Raja Gosnell,Matthew Lillard,Freddie Prinze Jr.,Sarah Michelle Gellar,Linda Cardellini,"$275,678,613"
Lincoln,"Biography, Drama, History",Steven Spielberg,Daniel Day-Lewis,Sally Field,David Strathairn,Joseph Gordon-Levitt,"$275,293,450"
Lara Croft: Tomb Raider,"Action, Adventure, Fantasy",Simon West,Angelina Jolie,Jon Voight,Iain Glen,Noah Taylor,"$274,703,340"
Tomb Raider,"Action, Adventure, Fantasy",Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu,"$274,650,803"
The Expendables,"Action, Adventure, Thriller",Sylvester Stallone,Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren,"$274,470,394"
Cloudy with a Chance of Meatballs 2,"Animation, Adventure, Comedy",Cody Cameron,Kris Pearn,Bill Hader,Anna Faris,Will Forte,"$274,325,949"
The Nutty Professor,"Comedy, Romance, Sci-Fi",Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller,"$273,961,019"
Jerry Maguire,"Comedy, Drama, Romance",Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,"$273,552,592"
Bad Boys II,"Action, Comedy, Crime",Michael Bay,Will Smith,Martin Lawrence,Gabrielle Union,Jordi Mollà,"$273,339,556"
Lilo & Stitch,"Animation, Adventure, Comedy",Dean DeBlois,Chris Sanders,Daveigh Chase,Chris Sanders,Tia Carrere,"$273,144,151"
The Silence of the Lambs,"Crime, Drama, Thriller",Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,"$272,742,922"
Grown Ups,Comedy,Dennis Dugan,Adam Sandler,Salma Hayek,Kevin James,Chris Rock,"$271,457,301"
Neighbors,Comedy,Nicholas Stoller,Seth Rogen,Rose Byrne,Zac Efron,Lisa Kudrow,"$270,665,134"
The Firm,"Drama, Mystery, Thriller",Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook,"$270,248,367"
We're the Millers,"Comedy, Crime",Rawson Marshall Thurber,Jason Sudeikis,Jennifer Aniston,Emma Roberts,Ed Helms,"$269,994,119"
Gran Torino,Drama,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,"$269,958,228"
"10,000 BC","Action, Adventure, Drama",Roland Emmerich,Camilla Belle,Steven Strait,Marco Khan,Cliff Curtis,"$269,784,201"
American Gangster,"Biography, Crime, Drama",Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,"$269,755,430"
Epic,"Animation, Action, Adventure",Chris Wedge,Amanda Seyfried,Josh Hutcherson,Beyoncé,Colin Farrell,"$268,426,634"
Exodus: Gods and Kings,"Action, Adventure, Drama",Ridley Scott,Christian Bale,Joel Edgerton,Ben Kingsley,Sigourney Weaver,"$268,175,631"
Blade Runner 2049,"Action, Drama, Mystery",Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,"$267,770,708"
Bambi,"Animation, Adventure, Drama",James Algar,Samuel Armstrong,David Hand,Graham Heid,Bill Roberts,"$267,447,150"
The Princess and the Frog,"Animation, Adventure, Comedy",Ron Clements,John Musker,Anika Noni Rose,Keith David,Oprah Winfrey,"$267,045,765"
Batman Returns,"Action, Crime, Fantasy",Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,"$266,915,287"
Indecent Proposal,"Drama, Romance",Adrian Lyne,Robert Redford,Demi Moore,Woody Harrelson,Seymour Cassel,"$266,614,059"
Something's Gotta Give,"Comedy, Drama, Romance",Nancy Meyers,Jack Nicholson,Diane Keaton,Keanu Reeves,Amanda Peet,"$265,328,738"
Bridget Jones: The Edge of Reason,"Comedy, Drama, Romance",Beeban Kidron,Renée Zellweger,Colin Firth,Hugh Grant,Gemma Jones,"$265,126,918"
The Incredible Hulk,"Action, Adventure, Sci-Fi",Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,William Hurt,"$264,770,996"
Waterworld,"Action, Adventure, Sci-Fi",Kevin Reynolds,Kevin Costner,Jeanne Tripplehorn,Dennis Hopper,Tina Majorino,"$264,218,220"
The Truman Show,"Comedy, Drama",Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,"$264,118,201"
Charlie's Angels,"Action, Adventure, Comedy",McG,Cameron Diaz,Drew Barrymore,Lucy Liu,Bill Murray,"$264,105,545"
The Fifth Element,"Action, Adventure, Sci-Fi",Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm,"$263,920,180"
Jumanji,"Adventure, Comedy, Family",Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde,"$262,821,940"
Gisaengchung,"Drama, Thriller",Bong Joon Ho,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,"$262,676,096"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,Larry Charles,Sacha Baron Cohen,Ken Davitian,Luenell,Chester,"$262,552,893"
Robots,"Animation, Adventure, Comedy",Chris Wedge,Carlos Saldanha,Ewan McGregor,Halle Berry,Mel Brooks,"$262,511,490"
Knight and Day,"Action, Adventure, Comedy",James Mangold,Tom Cruise,Cameron Diaz,Peter Sarsgaard,Jordi Mollà,"$261,989,769"
Total Recall,"Action, Adventure, Sci-Fi",Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,Rachel Ticotin,"$261,317,921"
This Is It,"Documentary, Drama, Music",Kenny Ortega,Michael Jackson,Alex Al,Alexandra Apjarova,Nick Bass,"$261,183,588"
Terminator: Dark Fate,"Action, Adventure, Sci-Fi",Tim Miller,Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis,Natalia Reyes,"$261,119,292"
The Lone Ranger,"Action, Adventure, Western",Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner,Tom Wilkinson,"$260,502,115"
Super 8,"Action, Mystery, Sci-Fi",J.J. Abrams,Elle Fanning,AJ Michalka,Kyle Chandler,Joel Courtney,"$260,095,986"
Halloween,"Crime, Horror, Thriller",David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,James Jude Courtney,"$259,939,835"
Xun long jue,"Action, Adventure, Drama",Wuershan,Kun Chen,Bo Huang,Shu Qi,Angelababy,"$259,368,448"
Charlie's Angels: Full Throttle,"Action, Adventure, Comedy",McG,Drew Barrymore,Lucy Liu,Cameron Diaz,Bernie Mac,"$259,175,788"
Rush Hour 3,"Action, Comedy, Crime",Brett Ratner,Jackie Chan,Chris Tucker,Max von Sydow,Hiroyuki Sanada,"$258,097,122"
The Full Monty,"Comedy, Drama",Peter Cattaneo,Robert Carlyle,Tom Wilkinson,Mark Addy,Wim Snape,"$257,938,649"
Gong fu yu jia,"Action, Adventure, Comedy",Stanley Tong,Jackie Chan,Yixing Zhang,Miya Muqi,Disha Patani,"$257,753,889"
Annabelle,"Horror, Mystery, Thriller",John R. Leonetti,Ward Horton,Annabelle Wallis,Alfre Woodard,Tony Amendola,"$257,589,721"
Encanto,"Animation, Comedy, Family",Jared Bush,Byron Howard,Charise Castro Smith,Stephanie Beatriz,María Cecilia Botero,"$256,786,742"
The Village,"Drama, Mystery, Thriller",M. Night Shyamalan,Sigourney Weaver,William Hurt,Joaquin Phoenix,Bryce Dallas Howard,"$256,697,520"
Gang jiong,"Action, Adventure, Comedy",Zheng Xu,Zheng Xu,Wei Zhao,Bei-Er Bao,Juan Du,"$256,283,912"
Erin Brockovich,"Biography, Drama",Steven Soderbergh,Julia Roberts,Albert Finney,David Brisbin,Dawn Didawick,"$256,271,286"
Us,"Horror, Mystery, Thriller",Jordan Peele,Lupita Nyong'o,Winston Duke,Elisabeth Moss,Tim Heidecker,"$256,067,149"
Fei chi ren sheng,"Comedy, Sport",Han Han,Teng Shen,Johnny Huang,Zheng Yin,Benyu Zhang,"$255,863,112"
Get Out,"Horror, Mystery, Thriller",Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,"$255,745,157"
Marley & Me,"Drama, Family",David Frankel,Owen Wilson,Jennifer Aniston,Eric Dane,Kathleen Turner,"$255,743,093"
Cliffhanger,"Action, Adventure, Thriller",Renny Harlin,Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner,"$255,000,211"
Baahubali 2: The Conclusion,"Action, Drama",S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,"$254,158,390"
Babe,"Comedy, Drama, Family",Chris Noonan,James Cromwell,Magda Szubanski,Christine Cavanaugh,Miriam Margolyes,"$254,134,910"
Men in Black: International,"Action, Adventure, Comedy",F. Gary Gray,Chris Hemsworth,Tessa Thompson,Kumail Nanjiani,Rebecca Ferguson,"$253,890,701"
Wild Hogs,"Action, Adventure, Comedy",Walt Becker,Tim Allen,Martin Lawrence,John Travolta,William H. Macy,"$253,625,427"
High School Musical 3: Senior Year,"Comedy, Drama, Family",Kenny Ortega,Zac Efron,Vanessa Hudgens,Ashley Tisdale,Lucas Grabeel,"$252,909,177"
Hercules,"Animation, Adventure, Comedy",Ron Clements,John Musker,Tate Donovan,Susan Egan,James Woods,"$252,712,101"
Dark Phoenix,"Action, Adventure, Sci-Fi",Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,"$252,442,974"
True Grit,"Drama, Western",Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,"$252,276,927"
Dolittle,"Adventure, Comedy, Family",Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Jim Broadbent,"$251,410,631"
Bean,"Adventure, Comedy, Family",Mel Smith,Rowan Atkinson,Peter MacNicol,John Mills,Pamela Reed,"$251,212,670"
American Hustle,"Crime, Drama",David O. Russell,Christian Bale,Amy Adams,Bradley Cooper,Jennifer Lawrence,"$251,171,807"
Enemy of the State,"Action, Thriller",Tony Scott,Will Smith,Gene Hackman,Jon Voight,Lisa Bonet,"$250,849,789"
You've Got Mail,"Comedy, Drama, Romance",Nora Ephron,Tom Hanks,Meg Ryan,Greg Kinnear,Parker Posey,"$250,821,495"
Eragon,"Action, Adventure, Family",Stefen Fangmeier,Ed Speleers,Sienna Guillory,Jeremy Irons,John Malkovich,"$250,425,512"
